epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.19211618602275848,0.0002999672433361411,3.484616994857788,0.17346233129501343,2.9552056789398193
1,0.2556016743183136,0.0002998684358317405,2.857285976409912,0.27159640192985535,2.8305611610412598
2,0.32572615146636963,0.0002997035626322031,2.5449142456054688,0.3296475410461426,2.494990110397339
3,0.38450899720191956,0.0002994727692566812,2.320847749710083,0.4146510064601898,2.2954351902008057
4,0.4358229637145996,0.0002991761139128357,2.1578166484832764,0.44367656111717224,2.0659189224243164
5,0.4686030447483063,0.00029881371301598847,2.0336763858795166,0.536281943321228,1.876928448677063
6,0.4925311207771301,0.00029838577029295266,1.9277211427688599,0.5038009881973267,1.874130368232727
7,0.5065007209777832,0.00029789243126288056,1.845549464225769,0.5279889702796936,1.7705267667770386
8,0.5186722278594971,0.0002973339578602463,1.7835900783538818,0.5217691659927368,1.6973823308944702
9,0.52005535364151,0.00029671055381186306,1.7272127866744995,0.5577055811882019,1.6343920230865479
10,0.5352697372436523,0.0002960225101560354,1.667069435119629,0.5466482639312744,1.6172171831130981
11,0.5399723649024963,0.0002952718932647258,1.6238311529159546,0.453351765871048,1.683884620666504
12,0.5506224036216736,0.00029445564723573625,1.5777177810668945,0.5597788691520691,1.5142043828964233
13,0.557676374912262,0.0002935757802333683,1.5443719625473022,0.5673807859420776,1.4642759561538696
14,0.5543568730354309,0.00029263264150358737,1.513002634048462,0.5894954800605774,1.4499897956848145
15,0.56708163022995,0.00029162666760385036,1.4786525964736938,0.5411195755004883,1.469061255455017
16,0.5721991658210754,0.00029056071070954204,1.4575073719024658,0.560469925403595,1.4219030141830444
17,0.5821576714515686,0.00028943055076524615,1.4284429550170898,0.6164478063583374,1.3430503606796265
18,0.581881046295166,0.0002882389526348561,1.4144765138626099,0.6316516995429993,1.309396743774414
19,0.5896265506744385,0.00028698646929115057,1.3953471183776855,0.5977885127067566,1.351834774017334
20,0.5961272716522217,0.00028567659319378436,1.3773915767669678,0.5964063405990601,1.371312141418457
21,0.6008298993110657,0.00028430408565327525,1.3529226779937744,0.6171389222145081,1.2970168590545654
22,0.6035961508750916,0.0002828724100254476,1.3426109552383423,0.5894954800605774,1.3373535871505737
23,0.5987551808357239,0.00028138220659457147,1.3333946466445923,0.6102280616760254,1.3018056154251099
24,0.617427408695221,0.0002798341156449169,1.3157991170883179,0.6302695274353027,1.268917441368103
25,0.6150760650634766,0.000278232415439561,1.3042010068893433,0.6530753374099731,1.2322129011154175
26,0.6196404099464417,0.00027657076134346426,1.2932099103927612,0.5825846791267395,1.3191851377487183
27,0.6283540725708008,0.0002748533443082124,1.2831414937973022,0.6081547737121582,1.2948628664016724
28,0.6294605731964111,0.00027308089192956686,1.2733616828918457,0.6682791709899902,1.1929327249526978
29,0.6354080438613892,0.0002712583227548748,1.2647794485092163,0.620594322681427,1.2558566331863403
30,0.6432918310165405,0.00026937833172269166,1.253867506980896,0.6800276637077332,1.1735551357269287
31,0.6372060775756836,0.0002674457791727036,1.254258155822754,0.6641327142715454,1.1908252239227295
32,0.6359612941741943,0.00026546145090833306,1.2445915937423706,0.614374577999115,1.2610162496566772
33,0.6479944586753845,0.0002634262782521546,1.2292447090148926,0.6309605836868286,1.2181223630905151
34,0.641632080078125,0.000261345790931955,1.2328641414642334,0.6641327142715454,1.187072992324829
35,0.6533886790275574,0.00025921169435605407,1.2196260690689087,0.6351071000099182,1.2337509393692017
36,0.6524204611778259,0.0002570294891484082,1.2082960605621338,0.6599861979484558,1.1737279891967773
37,0.6572614312171936,0.0002548001066315919,1.201019525527954,0.6821008920669556,1.146122694015503
38,0.6598893404006958,0.00025252962950617075,1.2047460079193115,0.6696613430976868,1.1620209217071533
39,0.6656984686851501,0.0002502090355847031,1.1930721998214722,0.6682791709899902,1.1586742401123047
40,0.6650069355964661,0.00024784423294477165,1.1937886476516724,0.6931582689285278,1.140812635421753
41,0.6615490913391113,0.00024543635663576424,1.1918623447418213,0.6786454916000366,1.141919732093811
42,0.6665283441543579,0.00024299191136378795,1.1825478076934814,0.6938493251800537,1.1279138326644897
43,0.6741355657577515,0.0002405011182418093,1.170669436454773,0.6503109931945801,1.1829451322555542
44,0.6751037240028381,0.00023797042376827449,1.1666287183761597,0.6530753374099731,1.2014739513397217
45,0.67316734790802,0.00023540100664831698,1.1669230461120605,0.6814098358154297,1.1432347297668457
46,0.6680498123168945,0.00018848563195206225,1.1796681880950928,0.6979958415031433,1.0961886644363403
47,0.6741355657577515,0.00018848563195206225,1.1665887832641602,0.7131997346878052,1.0738463401794434
48,0.6713693141937256,0.00018848563195206225,1.1693718433380127,0.7173462510108948,1.0610527992248535
49,0.6781466007232666,0.00018848563195206225,1.1638164520263672,0.7366966009140015,1.0455410480499268
50,0.6798063516616821,0.00018848563195206225,1.1513893604278564,0.7159640789031982,1.0748802423477173
51,0.6847856044769287,0.00018848563195206225,1.149052619934082,0.7131997346878052,1.0737519264221191
52,0.6796680688858032,0.00018848563195206225,1.1485741138458252,0.734623372554779,1.046558141708374
53,0.6863070726394653,0.00018848563195206225,1.1377601623535156,0.7353144288063049,1.0276089906692505
